Data;INSOLACAO;PRECIPITACAO;TEMPMAXIMA;TEMPMEDIA;TEMPMIN;UMIDADE
01/01/1990;0;15.5;27.2;22.24;20.2;88
02/01/1990;0;35.9;23.4;21.2;19.6;89.75
03/01/1990;0;16.3;21.2;20.1;17.8;89
04/01/1990;0;5.2;23.2;19.58;17.2;92.5
05/01/1990;0;11.9;26.8;21.62;17.2;86.25
06/01/1990;0;9.4;27.7;22.98;19.3;85.5
07/01/1990;1;15.7;30;23.64;19.8;78.5
08/01/1990;1;5.9;27.7;24.06;20.8;70
09/01/1990;0;0;24.4;21.98;20.8;86.5
10/01/1990;0;9.3;27.3;22.54;19.8;79.75
11/01/1990;1;4.7;27.3;23.74;20.6;72.75
12/01/1990;1;2.7;30.6;24.84;20.4;72.25
13/01/1990;1;10.7;31.3;25.28;20.1;68.25
14/01/1990;0;0;32.4;26.16;22;64.75
15/01/1990;1;0.9;31.3;24.38;21.2;82.25
16/01/1990;1;0.3;31.9;25.16;19.3;64.5
17/01/1990;1;0.1;32.5;26.66;21.3;59
18/01/1990;0;0.1;32.6;26.68;23.9;66.5
19/01/1990;1;0.3;27;22.92;21.2;80
20/01/1990;1;0.3;31;24.92;20;63.75
21/01/1990;0;0;30;23.32;20.4;86.75
22/01/1990;0;26.7;31;21.64;17.2;80.75
23/01/1990;0;76.9;29.2;22.92;17.8;77.75
24/01/1990;1;0;31;25.92;20.2;59.25
25/01/1990;1;0;32.6;25.32;20.4;71.25
26/01/1990;1;2.2;29.6;24.52;21.2;70.5
27/01/1990;0;0;29.6;24.32;21.2;73.5
28/01/1990;0;0;30.4;24.4;20;67.75
29/01/1990;0;0;32;25.36;19.8;61
30/01/1990;1;0;32.8;26.2;20;59.75
31/01/1990;1;0;33.2;25.36;19.8;60
01/02/1990;1;0;30.4;23.64;19.8;77.5
02/02/1990;0;9.2;29.7;23.54;21.9;58
03/02/1990;1;0;29.3;23.34;19.4;67
04/02/1990;0;0;30.1;22.58;18.2;72.75
05/02/1990;1;0;29;22.8;18.4;65.75
06/02/1990;0;0;29;22.64;19;78.25
07/02/1990;1;5;30.6;23.84;18.2;50.25
08/02/1990;0;0;31.6;24.8;20.6;65.25
09/02/1990;0;2.2;30.8;25.32;20.8;65.75
10/02/1990;1;0;29;23.04;19;88.25
11/02/1990;1;33.3;30.6;23.52;19.4;76.75
12/02/1990;1;3.2;30.6;23.58;20;80.75
13/02/1990;0;5;29.2;23.58;21.1;79.75
14/02/1990;1;16.1;28.3;23.5;20.7;79.5
15/02/1990;1;7.3;29.3;23.5;20.5;81.75
16/02/1990;1;21;30.2;24.08;18.9;71
17/02/1990;1;0;29.9;24.08;20.7;66.75
18/02/1990;1;0;30.1;23.1;19.3;71.25
19/02/1990;1;0;25.2;21.48;20;71.75
20/02/1990;0;0;27.3;21.46;17.2;73.75
21/02/1990;0;0;30.4;24.36;18.4;61.25
22/02/1990;0;0;31;22.8;18.5;83.25
23/02/1990;1;27.4;23.6;21.28;19;86.25
24/02/1990;1;8.6;28.4;22.72;20;73.25
25/02/1990;0;4.4;24.8;21.64;19;70
26/02/1990;1;0.1;27.6;23.6;19.7;70.25
27/02/1990;0;0;26.4;21.98;20;78
28/02/1990;1;10;21.6;20.52;19.3;88.75
01/03/1990;1;7.6;29.4;22.96;18;73.75
02/03/1990;0;0;30.6;22.52;19;78.75
03/03/1990;1;7.6;28.4;22.32;18;78.25
